"vertices" "degree_2nd_moment" "mean_length"
7 4.28571 1.66667
7 3.42857 1.33333
7 3.42857 1.33333
7 3.42857 1.33333
7 3.42857 1.5
7 3.71429 2.5
7 4 1.5
7 3.71429 1.33333
7 3.42857 1.5
7 4 1.66667
7 3.42857 1.16667
7 3.71429 1.66667
7 4 1.66667
7 3.42857 1.16667
7 4 1.83333
7 3.42857 1.33333
7 3.42857 1.16667
7 3.71429 1.5
7 3.14286 1.66667
7 4 1.5
7 3.42857 1.83333
7 3.42857 1.5
7 3.71429 1.33333
7 3.42857 1.16667
7 3.42857 1.16667
7 4.85714 2.33333
7 3.42857 1.16667
7 4 1.5
7 4 1.83333
7 3.14286 1
7 4 2
7 4.28571 1.66667
7 3.42857 1.16667
7 4 1.66667
7 3.71429 1.33333
7 3.71429 1.33333
7 4 2.16667
7 4 1.83333
7 4 2
7 3.14286 1.33333
7 3.71429 1.66667
7 3.42857 1.5
7 3.71429 1.33333
7 4 1.5
7 3.71429 1.66667
7 3.42857 1.66667
7 4 1.66667
7 4 2.16667
7 3.42857 1.33333
7 3.42857 1.16667
7 4 1.83333
7 3.42857 1.5
8 4 1.42857
8 3.75 1.42857
8 4.25 1.85714
8 3.75 1.42857
8 3.5 1.14286
8 4 2
8 3.5 1.28571
8 3.75 1.71429
8 3.5 1.14286
8 5 2
8 3.5 1.28571
8 3.5 1.28571
8 4.25 1.71429
8 4 1.57143
8 4 1.57143
8 3.5 1.57143
8 3.5 1.14286
8 3.75 1.71429
8 5 2.85714
8 3.75 1.57143
8 4 2
8 4.25 1.71429
8 3.5 1.28571
8 4 1.85714
8 4.25 2
8 4.25 2.14286
8 3.75 2.14286
8 4 1.85714
8 4.25 2.14286
8 3.75 1.57143
8 4 1.57143
8 3.75 1.28571
8 3.25 1
8 3.75 1.28571
8 4 1.71429
8 3.75 1.85714
8 3.75 1.28571
8 4.25 2.14286
8 3.75 2.14286
8 3.5 1.28571
8 3.75 1.42857
8 4.25 1.57143
8 4 1.57143
8 4.25 1.57143
8 4 2.28571
8 4 1.85714
8 4 1.42857
8 3.75 1.28571
8 3.5 1.42857
8 4 2.28571
8 4.25 2.42857
8 4.75 2.28571
8 3.5 1.71429
8 3.75 1.57143
8 5 2
8 3.5 1.42857
8 4.25 1.71429
8 4.75 1.85714
8 3.5 1.14286
8 3.75 1.28571
8 3.75 1.28571
8 4 2
8 3.75 1.71429
8 3.75 1.57143
8 3.5 1.14286
8 3.5 1.28571
8 4 1.57143
8 3.5 1.28571
8 4.25 1.71429
8 4.25 2.14286
8 3.75 1.85714
8 3.75 1.28571
8 3.75 1.42857
8 4.25 1.57143
8 3.5 1.14286
8 3.5 1.14286
8 3.5 1.57143
8 3.5 1.42857
8 3.5 1.42857
8 5 2
8 3.75 1.42857
8 3.5 1.14286
8 4.25 2.28571
8 4 1.71429
8 4 1.57143
8 4 1.85714
8 3.75 1.57143
8 4 1.42857
8 4.25 1.71429
8 3.5 1.57143
8 4 1.57143
8 4.25 1.85714
8 4.75 2.14286
8 4.75 1.85714
8 5 2
8 5 2
8 3.75 1.28571
8 3.5 1.42857
8 4.75 2.14286
8 4.25 1.85714
8 4 1.42857
8 4.75 2.28571
8 4 1.42857
8 4.25 1.57143
8 4 1.42857
8 3.75 1.57143
8 4.75 2.14286
8 3.75 1.57143
8 4 1.71429
8 4 1.71429
8 4 1.71429
8 4 1.71429
8 3.75 1.28571
8 4.25 1.57143
8 4 2.14286
8 3.5 1.28571
8 4.25 2
8 4.25 1.85714
8 4.25 1.57143
8 4.25 1.71429
8 4 2
8 3.5 1.42857
8 4.25 2.42857
8 3.5 1.42857
8 4.25 2.42857
8 4 2.28571
8 4.25 2.14286
8 3.5 1.14286
8 4 2
8 4.25 1.71429
8 4 1.71429
8 5 2
8 4.75 2
8 3.5 1.14286
8 4 1.42857
8 3.75 1.57143
8 3.75 1.42857
8 3.75 1.57143
8 3.5 1.57143
8 3.5 1.71429
8 4.25 2
8 3.5 1.14286
8 4 1.71429
8 4.25 1.71429
8 3.75 1.42857
8 4 1.57143
8 3.25 1
8 3.5 1.14286
8 3.5 1.14286
8 3.75 1.42857
8 3.5 1.28571
8 4 1.57143
8 4 1.42857
8 3.5 1.14286
8 3.75 1.57143
8 3.75 1.57143
8 7 3.14286
8 4 1.85714
8 3.75 1.28571
8 3.25 1
8 3.25 1
8 3.5 1.28571
8 3.75 1.28571
8 4 1.71429
8 3.5 1.42857
8 4.75 2
8 7 3.14286
8 5.75 2.71429
8 4.75 2.14286
8 4.75 1.85714
8 5 2.28571
8 3.25 1.14286
8 3.5 1.28571
8 4.25 1.57143
8 3.5 1.42857
8 4 1.57143
8 4 2
8 4.25 1.71429
8 5.75 2.42857
8 3.25 1
8 3.5 1.28571
8 3.75 1.71429
8 4 2
8 3.75 1.28571
8 4.25 1.57143
8 4 1.42857
8 4.75 2.28571
8 3.5 1.14286
8 3.75 2.14286
8 4.25 1.57143
8 3.75 1.85714
8 3.5 1.14286
8 5 2
8 3.75 1.57143
8 3.75 1.42857
8 4 2
8 3.5 1.28571
8 3.75 1.28571
8 5.75 2.85714
8 4.25 2.14286
8 4.75 1.85714
8 4 1.42857
8 4.75 2.14286
8 4 1.42857
8 5.75 2.85714
8 4 1.85714
8 4 1.71429
8 4.25 2.14286
8 4 2
8 3.5 1.71429
8 3.5 1.28571
8 3.75 1.85714
8 4 1.57143
8 3.5 1.71429
8 4.25 2.28571
8 4 1.85714
8 3.75 1.57143
8 5.75 2.71429
8 4.25 1.57143
8 3.75 1.42857
8 4 2.71429
8 4.25 1.71429
8 3.75 1.42857
8 4 1.71429
8 4 1.71429
8 5 2
8 4 1.42857
8 4 1.42857
8 4.25 2.14286
8 3.5 1.42857
8 4 2.28571
8 4.75 2.14286
8 4 1.71429
8 4.75 2.14286
8 3.5 1.57143
8 4.25 1.57143
8 3.75 1.28571
8 4.75 2
8 3.25 1.57143
8 3.75 2.14286
8 4.25 1.85714
8 3.5 1.14286
8 4 2
8 4.75 1.85714
8 3.5 1.42857
8 4 1.42857
8 5.75 2.71429
8 4.25 1.85714
8 4.75 2.57143
8 4 1.57143
8 5.75 2.57143
8 4.25 1.71429
8 4.75 1.85714
8 3.75 1.28571
8 3.75 1.28571
8 4 1.71429
8 4.75 1.85714
8 3.5 1.28571
8 3.5 1.14286
8 4 1.71429
8 4.25 1.57143
8 3.75 1.42857
8 3.75 1.42857
8 4 1.42857
8 4 1.42857
8 5 2
8 3.5 1.14286
8 4 1.42857
8 4 1.42857
8 4 2
8 4 1.42857
8 3.5 1.42857
8 3.75 1.42857
8 4 1.42857
8 3.5 1.14286
8 3.75 1.28571
8 5 2.85714
8 4.75 2.71429
8 4.75 1.85714
8 3.5 1.28571
8 3.75 2
8 4 2
8 3.5 1.42857
8 4.75 2
8 3.5 1.57143
8 3.75 1.28571
8 3.5 1.28571
8 5 2
8 4 2.14286
8 5 2.28571
8 4 1.71429
8 3.5 1.14286
8 3.5 1.28571
8 4.25 1.71429
8 3.5 1.42857
8 3.5 1.14286
8 3.5 1.57143
8 3.75 1.57143
8 4.25 1.71429
8 4.25 1.57143
8 4 1.71429
8 3.75 1.42857
8 5 2.85714
8 4 1.71429
8 4.25 1.85714
8 3.75 1.28571
8 3.5 1.71429
8 4.25 1.57143
8 4.25 1.71429
8 4 1.42857
8 4 1.71429
8 4 1.42857
8 4 1.57143
8 4.25 1.71429
8 3.5 1.42857
8 4 1.71429
8 4 1.85714
8 3.25 1
8 4 1.71429
8 4 1.85714
8 5 2.57143
8 3.5 1.28571
8 4.25 2.42857
8 4 2
8 4 1.85714
8 3.5 1.14286
8 4.25 1.57143
8 4.75 2
8 4.75 2
8 4.25 1.71429
8 4.25 1.85714
8 3.75 1.28571
8 4.75 2.57143
8 3.5 1.14286
8 4 2
8 3.75 1.42857
8 3.25 1
8 3.5 1.14286
8 3.75 1.42857
8 4 2.14286
8 4 1.71429
8 4.25 1.57143
8 5.75 2.85714
8 3.75 1.42857
8 3.5 1.14286
8 4.75 1.85714
8 3.75 1.42857
8 4 1.85714
8 3.5 1.14286
8 4 2
8 4 1.71429
8 3.5 1.14286
8 4.25 1.71429
8 4.25 2.42857
8 4.25 1.71429
8 3.75 1.57143
8 3.5 1.14286
8 3.75 1.57143
8 3.75 1.85714
8 4.25 1.71429
8 5 2
8 4 1.42857
8 4 1.71429
8 4 2.28571
8 3.5 1.28571
8 4.25 1.57143
8 4 1.71429
8 3.5 1.57143
8 4.25 1.57143
8 4.25 1.57143
8 4 1.42857
8 4.75 2.71429
8 3.5 1.42857
8 4.25 1.71429
8 3.75 1.42857
8 4.25 2.14286
8 4.75 2.42857
8 4.25 1.85714
8 4.75 1.85714
8 3.75 1.71429
8 3.5 1.14286
8 4 1.42857
8 4.75 2.14286
8 4.25 2
8 3.5 1.14286
8 3.5 1.14286
8 3.25 1
8 4.75 1.85714
8 5 2
8 4.25 1.57143
8 3.75 1.57143
8 4 1.71429
8 4.25 1.57143
8 4 1.42857
8 4.75 2.14286
8 4.25 2.14286
8 4.75 2.14286
8 3.75 1.28571
8 4.25 1.57143
8 4 1.57143
8 3.5 1.14286
8 4 1.42857
8 4 1.71429
8 3.25 1
8 4 1.57143
8 3.5 1.14286
8 4 1.71429
8 4 2
8 3.75 1.42857
8 4.25 1.57143
8 5 2
8 3.5 1.28571
8 5 2
8 3.75 1.28571
8 3.75 1.28571
8 4 1.85714
8 3.75 1.42857
8 3.5 1.14286
8 3.5 1.14286
8 3.5 1.28571
8 5.75 3
8 3.5 1.42857
8 3.75 1.42857
8 3.75 1.85714
8 3.5 2
8 4.25 1.57143
8 5 2
8 5.75 2.71429
8 3.5 1.14286
8 3.75 1.57143
8 3.5 1.42857
8 3.5 1.42857
8 4 1.42857
8 4.75 1.85714
8 4.75 1.85714
8 4.75 1.85714
8 4.75 1.85714
8 3.5 1.28571
8 3.75 1.42857
8 4 2
8 3.5 1.71429
8 3.5 1.42857
8 3.5 1.42857
8 4.75 2.14286
8 4.25 1.85714
8 3.5 1.14286
8 3.5 1.14286
8 4 1.42857
8 3.75 1.42857
8 4.75 1.85714
8 4 2.28571
8 4 1.42857
8 4 1.85714
8 4.25 1.57143
8 3.5 1.14286
8 4.75 2.28571
8 3.5 1.71429
8 3.5 1.14286
8 4.75 2.14286
8 3.5 1.14286
8 3.75 1.28571
8 4.75 2.14286
8 5.75 2.85714
8 3.5 1.14286
8 3.75 1.28571
8 5 2.28571
8 5 2.57143
8 4.75 2
8 3.5 1.71429
8 4.25 1.57143
8 4.75 1.85714
8 4.25 1.85714
8 4 1.71429
8 4.75 2.57143
8 5 2
8 4 1.71429
8 5 2.57143
8 4.25 2.42857
8 4.25 1.71429
8 4 1.71429
8 3.75 1.28571
8 5.75 2.85714
8 3.75 1.42857
8 4.75 2.42857
8 4.75 2.28571
8 4 1.71429
8 5 2
8 4.25 1.71429
8 3.75 1.71429
8 3.75 1.28571
8 4.75 1.85714
8 4.75 2.14286
8 3.75 1.28571
8 4 1.57143
8 3.75 1.57143
8 3.5 1.57143
8 4.25 2.42857
8 4.75 2.14286
8 3.75 2.14286
8 3.5 1.14286
8 3.75 1.85714
8 3.75 1.28571
8 3.75 1.85714
8 5 2.28571
8 4.25 1.71429
8 4.25 1.71429
8 3.25 1
8 3.75 1.28571
8 3.75 1.42857
8 4.25 1.57143
8 4 2
8 3.75 1.28571
8 3.5 1.14286
8 3.75 1.57143
8 3.25 1.28571
8 4.25 1.85714
8 4 1.85714
8 5.75 2.57143
8 3.25 1.14286
8 4 1.85714
8 4.25 2
8 3.5 1.42857
8 3.75 1.28571
8 4 2
8 4.75 1.85714
8 4 1.42857
8 3.75 1.57143
8 4.75 2.14286
8 4 1.57143
8 3.5 1.14286
8 4.25 1.57143
8 3.75 1.42857
8 4.25 2
8 3.75 1.42857
8 3.75 1.57143
8 4.25 1.71429
8 4 1.57143
8 3.5 1.14286
8 3.5 1.42857
8 4.75 1.85714
8 3.5 2.28571
8 4.75 1.85714
8 3.75 1.71429
8 3.5 1.28571
8 3.5 1.42857
8 3.5 1.14286
8 4 2.28571
8 4.75 2.71429
8 4.25 1.57143
8 3.75 1.42857
8 3.5 1.14286
8 5 2
8 3.5 1.57143
8 3.75 1.28571
8 3.75 1.71429
8 4.75 2.14286
8 4.25 1.85714
8 3.75 1.42857
8 3.5 1.42857
8 4 1.42857
8 4.25 1.71429
8 3.5 1.42857
8 4 1.42857
8 4 1.42857
8 4.75 2.28571
8 4 1.57143
8 3.75 1.28571
8 4.25 1.85714
8 4 1.71429
8 4.25 1.71429
8 4.25 1.71429
8 5.75 3
8 3.75 1.57143
8 3.75 1.28571
8 3.5 1.14286
8 4.25 1.71429
8 4.75 2.71429
8 4.75 1.85714
8 4 1.42857
8 4.25 2.42857
8 3.75 1.28571
8 3.5 1.14286
8 4 1.57143
8 3.25 1.14286
8 3.75 1.28571
8 4.25 1.57143
8 3.75 1.71429
8 3.25 1.28571
8 3.5 1.14286
8 3.5 1.71429
8 3.75 1.71429
8 4 1.71429
8 4.25 1.71429
8 3.75 1.57143
8 3.5 1.28571
8 4 1.57143
8 3.75 1.28571
8 4.75 2
8 4 1.42857
8 4 1.42857
8 3.5 1.71429
8 4.25 1.71429
8 3.75 1.28571
8 3.5 1.14286
8 4.75 2.42857
8 4 1.85714
8 4 1.57143
8 4.25 1.85714
8 3.75 1.28571
8 3.75 1.42857
8 4.75 2.14286
8 4 1.57143
8 3.75 1.28571
8 4 1.85714
8 4 1.57143
8 4 1.42857
8 3.75 1.85714
8 3.5 1.71429
8 3.5 2
8 4 2
8 4 1.42857
8 5 2
8 3.5 1.14286
8 3.5 1.28571
8 3.5 1.57143
8 3.75 1.42857
8 5.75 2.71429
8 3.5 1.14286
8 4.75 1.85714
8 4 1.85714
8 3.75 1.28571
8 3.5 1.71429
8 4.75 2.28571
8 4.25 1.57143
8 5.75 2.42857
8 4.25 1.71429
8 4 1.42857
8 3.5 1.28571
8 3.5 1.57143
8 4 1.42857
8 5 2
8 3.5 1.14286
8 3.5 1.14286
8 4 1.71429
8 4.25 2.42857
8 3.75 1.28571
8 3.75 1.57143
8 3.75 1.28571
8 3.5 1.14286
8 4.75 2.28571
8 4.25 1.57143
8 4 1.42857
8 3.5 1.71429
8 3.5 1.28571
8 4 1.42857
8 3.75 1.28571
8 3.5 1.14286
8 4.75 2.14286
8 4 1.57143
8 5 2
8 4.25 2
8 3.5 1.14286
8 4.25 1.71429
8 3.5 1.14286
8 3.75 1.57143
8 3.5 1.14286
8 4 1.85714
8 5 2.57143
8 4.75 2.42857
8 3.75 1.85714
8 4 1.42857
8 3.75 1.57143
8 3.75 1.42857
8 5.75 3
8 3.75 1.28571
8 4.25 1.71429
8 4.75 2.14286
8 4.25 1.57143
8 5.75 2.57143
8 3.75 1.85714
8 3.5 1.14286
8 3.75 1.42857
8 3.75 1.28571
8 3.5 2.14286
8 3.5 1.57143
8 4 2
8 3.75 1.42857
8 3.75 2
8 4 1.42857
8 4.75 2.14286
8 3.5 1.28571
8 3.75 1.85714
8 3.75 1.57143
8 4 1.42857
8 3.75 1.57143
8 4 1.42857
8 3.5 1.14286
8 3.75 1.28571
8 3.75 1.57143
8 3.75 1.28571
8 3.5 1.85714
8 4.25 1.85714
8 3.75 1.85714
8 3.5 1.42857
8 3.75 1.42857
8 4.25 1.57143
8 3.75 1.42857
8 3.5 1.28571
8 4.25 1.85714
8 4 1.85714
8 4.25 2.42857
8 4 1.42857
8 3.75 1.28571
8 3.75 1.42857
8 4 1.42857
8 4 1.71429
8 3.75 1.42857
8 5.75 2.42857
8 4.75 1.85714
8 4 2
8 5.75 2.85714
8 4.75 2.71429
8 4.75 2.71429
8 5.75 2.42857
8 4 1.42857
8 4.75 2.71429
8 5 2.28571
8 3.5 1.28571
8 4.75 1.85714
8 3.75 1.28571
8 5.75 3
8 3.5 1.57143
8 4.25 2.14286
8 4.25 2
8 3.5 1.57143
8 3.75 1.28571
8 4.75 2.28571
8 4.25 2.14286
8 4.25 1.85714
8 4 1.57143
8 4.25 1.57143
8 4.25 1.71429
8 4 1.85714
8 3.5 1.71429
8 5 2
8 4 1.71429
8 4.75 1.85714
8 3.75 1.42857
8 3.75 1.28571
8 4.75 2
8 3.5 1.14286
8 4.25 1.57143
8 4.25 2
8 5 2
8 5 2
8 4.25 1.57143
8 4 1.42857
8 3.5 1.14286
8 4.25 1.85714
8 5 2
8 4 1.42857
8 3.5 1.42857
8 4 1.42857
8 4.25 1.57143
8 3.5 1.14286
8 4.25 2.57143
8 4 1.71429
8 3.5 1.28571
8 4 1.71429
8 3.5 1.57143
8 3.5 1.14286
8 3.75 1.28571
8 4 1.57143
8 4 1.71429
8 4 1.71429
8 3.5 1.14286
8 4.75 2.14286
8 4.25 2
8 3.75 1.28571
8 4.75 2.14286
8 4.75 1.85714
8 4.25 1.57143
8 3.75 1.71429
8 4.25 2.57143
8 4.75 2.14286
8 4 1.42857
8 4.75 1.85714
8 3.75 1.42857
8 4.25 1.57143
8 3.25 1.14286
8 3.5 1.57143
8 3.5 1.28571
8 3.5 1.14286
8 4.75 2
8 4 1.85714
8 3.5 1.57143
8 3.5 1.42857
8 3.75 1.28571
8 4.25 1.71429
8 4.75 2.42857
8 3.5 1.14286
8 4 1.71429
8 3.5 1.28571
8 3.75 1.28571
8 5.75 3
8 4.25 1.57143
8 3.75 1.28571
8 3.5 1.57143
8 4 1.42857
8 5.75 2.85714
8 4.25 1.71429
8 4 1.42857
8 4.25 1.57143
8 4.25 1.57143
8 3.5 1.57143
8 3.5 1.42857
8 4.75 1.85714
8 4.25 2
8 3.5 1.14286
8 3.5 1.14286
8 3.75 1.57143
8 4.25 1.57143
8 4 2.28571
8 3.5 1.42857
8 4 1.85714
8 4 2.28571
8 3.5 1.71429
8 3.75 1.71429
8 5 2
8 3.5 1.28571
8 4 1.42857
8 3.75 1.28571
8 3.5 1.14286
8 3.75 1.42857
8 4.25 2
8 3.5 1.57143
8 3.75 1.28571
8 3.5 1.14286
8 3.5 1.57143
8 4.75 2.14286
8 3.5 1.14286
8 4 2
8 5.75 3
8 4 1.42857
8 3.75 1.28571
8 3.5 1.14286
8 7 3.14286
8 4.75 2
8 5.75 2.42857
8 3.75 1.57143
8 4.75 2.71429
8 3.75 1.28571
8 3.75 1.57143
8 4.75 1.85714
8 3.5 1.14286
8 4.25 1.57143
8 4 2
8 3.75 1.28571
8 3.75 1.57143
8 4 1.42857
8 3.5 1.14286
8 3.5 1.57143
8 4 1.71429
8 4.25 1.57143
8 3.75 1.42857
8 3.75 1.28571
8 4 1.71429
8 5 2.85714
8 4.25 1.57143
8 4.75 2
8 3.75 1.28571
8 4.25 1.57143
8 4 1.42857
8 4 2.14286
8 4 1.71429
8 3.25 1
8 4 1.85714
8 4.25 1.71429
8 5 2
8 4 1.42857
8 4 1.71429
8 3.75 1.28571
8 3.5 1.71429
8 3.75 1.42857
8 4.25 1.57143
8 4.25 1.57143
8 3.75 2
8 4 1.57143
8 4.75 2.14286
8 4 1.42857
8 3.75 1.28571
8 3.5 1.71429
8 3.75 1.42857
8 4 2
8 3.75 1.28571
8 4.25 1.57143
8 3.5 1.57143
8 4.25 1.85714
8 3.75 1.42857
8 5 2
8 3.75 1.85714
8 4 1.42857
8 4 1.42857
8 3.75 1.85714
8 4.75 2.14286
8 4.25 2.14286
8 4.75 2.57143
8 3.75 1.71429
8 3.75 1.28571
8 4 1.71429
8 3.5 1.14286
8 3.75 1.28571
8 3.5 1.28571
8 4.25 1.57143
8 4 2
8 3.75 1.85714
8 4.75 2.14286
8 3.75 1.85714
8 3.25 1
8 3.75 1.85714
8 4 1.42857
8 3.5 1.28571
8 4 2
8 3.5 1.14286
8 3.75 1.28571
8 3.75 1.57143
8 3.75 1.85714
8 3.75 1.28571
8 4.75 2
8 4.25 1.57143
8 4 1.42857
8 4 1.42857
8 4 1.42857
8 3.75 1.57143
8 3.5 1.28571
8 3.25 1
8 3.75 1.28571
8 4.25 1.57143
8 4.25 1.57143
8 3.75 1.57143
8 3.5 1.28571
8 3.25 1.14286
8 3.75 1.42857
8 4 1.71429
8 3.75 1.28571
8 4 1.85714
8 3.5 1.14286
8 5 2
8 3.75 1.71429
8 4 1.57143
8 4 1.42857
8 3.5 1.28571
8 4.25 1.57143
8 3.5 1.28571
8 4.75 1.85714
8 3.75 1.85714
8 3.5 1.14286
8 3.5 2.14286
8 3.5 1.14286
8 3.5 1.57143
8 4.25 1.57143
8 3.75 1.42857
8 4 1.85714
8 4.75 2.71429
8 4.75 2.28571
8 3.75 1.28571
8 3.5 1.71429
8 3.5 1.57143
8 3.75 1.57143
8 3.75 1.85714
8 3.25 1.42857
8 3.5 1.28571
8 4 2.42857
8 4.25 1.57143
8 7 3.14286
8 3.75 2.14286
8 4 1.42857
8 4 1.42857
8 3.75 1.57143
8 4.25 1.71429
8 3.5 1.14286
8 4 1.42857
8 4.25 1.57143
8 4 1.85714
8 4.25 1.57143
8 4.75 2.14286
8 4 1.57143
8 3.75 1.28571
8 4 1.42857
8 4.75 1.85714
8 4.75 2.14286
8 3.75 1.28571
8 4.25 1.71429
8 3.75 1.28571
8 4.25 2
8 4 1.57143
8 4 1.42857
8 4 1.42857
8 4.75 1.85714
8 3.75 2.14286
8 4.25 1.71429
8 3.5 1.71429
8 5.75 2.85714
8 3.5 1.14286
8 4 1.42857
8 4.25 2
8 4.25 1.85714
8 3.75 1.28571
8 3.75 1.57143
8 3.5 1.14286
8 3.5 1.57143
8 4.25 1.57143
8 3.75 2
8 4.75 2
8 3.75 1.57143
8 4.25 1.71429
8 4.75 1.85714
8 3.75 1.42857
8 7 3.14286
8 4 1.42857
8 4 1.42857
8 4.25 1.85714
8 5.75 2.71429
8 3.5 1.14286
8 4 1.71429
8 4.25 1.71429
8 3.5 1.57143
8 4.25 1.57143
8 3.75 1.28571
8 3.75 1.71429
8 3.5 1.57143
8 4 1.71429
8 3.75 1.42857
8 4.75 1.85714
8 4.25 1.71429
8 5.75 2.57143
8 3.25 1
8 4 1.42857
8 3.5 1.14286
8 4 1.42857
8 3.75 1.71429
8 4.25 1.57143
8 5 2
8 4.25 2.14286
8 3.75 1.28571
8 3.5 1.42857
8 3.5 1.85714
8 4 2.28571
8 3.75 2
8 3.5 1.57143
8 3.5 1.14286
8 4 1.71429
8 4.75 1.85714
8 3.5 1.14286
8 4 2
8 3.25 1
8 3.75 2
8 5.75 2.71429
8 3.5 1.14286
8 3.25 1.14286
8 4.25 1.71429
8 3.5 1.28571
8 3.25 1.28571
8 4 1.57143
8 4 2.28571
8 3.75 1.85714
8 3.5 1.57143
8 3.75 1.57143
8 4.25 2.42857
8 3.5 1.14286
8 3.5 1.42857
8 3.5 1.57143
8 4.25 1.71429
8 3.75 1.28571
8 4.25 1.57143
8 3.5 1.28571
8 3.5 1.71429
8 3.5 1.28571
8 3.5 1.42857
8 3.5 1.14286
8 3.75 2
8 3.5 1.14286
8 3.75 1.28571
8 4.75 2.71429
8 4.25 2.14286
8 3.5 1.14286
8 5.75 2.42857
8 3.5 1.14286
8 4.75 1.85714
8 4.25 1.71429
8 3.5 1.57143
8 3.5 1.71429
8 4.25 1.71429
8 4.75 2
8 4 1.42857
8 3.75 1.85714
8 5.75 2.71429
8 3.5 1.14286
8 5.75 3
8 3.75 1.28571
8 3.75 1.57143
8 3.5 2.14286
8 3.5 1.42857
8 3.5 1.14286
8 4 2
8 3.75 1.85714
8 3.75 1.42857
8 3.75 1.57143
8 4 1.71429
8 3.75 1.42857
8 4.25 1.71429
8 4 2.14286
8 3.75 1.28571
8 3.5 1.85714
8 3.75 1.57143
8 3.75 1.57143
8 5.75 2.71429
8 4 1.42857
8 4.25 1.57143
8 3.5 1.28571
8 7 3.14286
8 4 1.42857
8 3.5 1.28571
8 3.5 1.42857
8 4 2
8 3.75 1.28571
8 3.5 1.28571
8 3.5 1.14286
8 3.5 1.14286
8 4 1.57143
8 4 1.71429
8 3.75 1.57143
8 4 1.71429
8 4.75 2.28571
8 3.75 1.57143
8 4 1.42857
8 3.75 1.42857
8 4 1.42857
8 4.25 1.57143
8 3.5 1.14286
8 3.75 1.28571
8 4.25 1.71429
8 3.5 1.14286
8 4.75 2.28571
8 4.25 1.57143
8 4 2.28571
8 4 1.85714
8 3.75 1.42857
8 4.75 2.28571
8 4 1.42857
8 3.75 1.42857
8 5 2
8 3.75 1.28571
8 5.75 2.71429
8 3.75 1.28571
8 3.5 1.14286
8 3.75 1.57143
8 4 2
8 3.5 1.42857
8 3.25 1
8 5 2.28571
8 4 1.42857
8 3.5 1.57143
8 3.5 1.28571
8 3.25 1
8 3.75 2
8 5 2.85714
8 3.75 1.28571
8 3.75 1.85714
8 3.5 1.42857
8 3.5 1.42857
8 3.5 1.57143
8 4.75 1.85714
8 4 2.28571
8 3.75 1.85714
8 4.75 2
8 3.25 1.42857
8 3.5 1.57143
8 3.75 1.71429
8 4 1.57143
8 4 2
8 4.25 1.71429
8 4 2
8 4 1.71429
8 4.75 2
8 4.75 2.28571
8 4 2
8 4 1.71429
8 3.75 1.42857
8 3.75 1.57143
8 4 1.71429
8 4.25 1.71429
8 4.25 1.71429
8 4.75 1.85714
8 4.75 2.28571
8 3.75 1.28571
8 3.5 1.14286
8 4.75 2.14286
8 3.75 1.28571
8 3.75 1.28571
8 4 1.42857
8 3.5 1.42857
8 4.25 1.57143
8 4.25 1.57143
8 4.25 1.57143
8 3.75 2
8 4.25 1.57143
8 3.5 1.57143
8 3.75 2
8 3.5 1.57143
8 4.25 1.71429
8 3.75 1.42857
8 3.5 1.42857
8 4 2
8 4 1.71429
8 4 1.71429
8 3.75 1.28571
8 4.75 2
8 3.75 1.28571
8 3.75 1.28571
8 3.75 1.42857
8 3.75 1.28571
8 3.75 1.57143
8 3.75 1.57143
8 3.75 1.71429
8 4.25 1.57143
8 4.25 1.85714
8 3.5 1.28571
8 4.75 2.42857
8 4.25 1.85714
8 4 1.85714
8 3.25 1
8 3.75 1.28571
8 3.75 1.28571
8 4.75 2
8 4 1.42857
8 3.5 1.57143
8 3.5 1.14286
8 3.75 1.28571
8 3.75 1.57143
8 5 2
8 4 1.42857
8 3.25 1
8 3.5 1.14286
8 4.25 1.57143
8 4.25 1.57143
8 4 1.42857
8 3.5 1.14286
8 4.25 1.57143
8 4.25 1.71429
8 3.5 1.57143
8 3.75 1.42857
8 3.75 1.28571
8 4.75 2.14286
8 3.5 1.57143
8 4 1.57143
8 4.25 1.57143
8 3.75 1.42857
8 5 2
8 4.75 2.71429
8 3.75 1.85714
8 3.5 1.14286
8 3.5 1.28571
8 3.75 1.57143
8 4 1.42857
8 3.5 1.14286
8 4.75 1.85714
8 4 1.71429
8 4 1.71429
8 3.75 1.71429
8 4.25 2
8 3.5 1.14286
8 3.75 1.71429
8 4 1.42857
8 4.25 1.57143
8 4.75 2.14286
8 3.75 1.28571
8 3.75 1.42857
8 4 2
8 3.25 1.28571
8 3.5 1.57143
8 4.25 2.14286
8 4.75 2.42857
8 3.75 1.28571
8 4 2
8 3.5 1.14286
8 3.75 1.57143
8 4 2.85714
8 3.5 1.14286
8 4 1.42857
8 4.25 1.57143
8 3.5 1.71429
8 4 1.42857
8 3.5 1.42857
8 3.75 1.28571
8 3.75 1.28571
8 4.25 2.14286
8 4.75 2
8 4.25 1.57143
8 3.75 1.28571
8 3.75 1.28571
8 4.25 2.14286
8 4.75 2
8 4.25 1.57143
8 4 1.71429
8 4 1.71429
8 3.25 1.14286
8 3.75 1.57143
8 4.75 2.57143
8 3.5 1.57143
8 3.75 1.28571
8 4.75 2.71429
8 4.25 1.71429
8 3.5 2
8 3.75 1.28571
8 3.5 1.57143
8 4.75 2
8 4 2.42857
8 4.75 2.14286
8 3.5 1.57143
